,0
0,dok
1,punkt motoryczny
2,punkt Lanza
3,stragan
4,salon piękności
5,prokuratura
6,melina
7,oko cyklonu
8,syzygia
9,antycentrum
10,hostel
11,nadbudówka
12,ziemia odniesienia
13,stadion olimpijski
14,szkoła zawodowa
15,azyl
16,glorieta
17,pięterko
18,ośrodek kuratorski
19,punkt zlewny
20,klub go-go
21,second hand
22,fara
23,klubokawiarnia
24,przystanek autobusowy
25,gród
26,położnictwo
27,dyskont
28,kaplica chrzcielna
29,bazar
30,panoptikum
31,posterunek obserwacyjny
32,wozówka
33,resursa
34,bazylika większa
35,szczerba
36,dermatologia
37,filharmonia
38,wyrocznia
39,astroblem
40,horda
41,infirmeria
42,padok
43,hanza
44,hurtownia
45,współkatedra
46,międzymorze
47,tercja obronna
48,akademia
49,plac gry
50,urząd
51,prakontynent
52,music-hall
53,dom
54,murowanka
55,miasto-ogród
56,partykularz
57,ogród dendrologiczny
58,pole karne
59,kontynent
60,skup złomu
61,ognisko muzyczne
62,zdrojowisko
63,rezydencja
64,ława działowa
65,ostrowie
66,koncentrak
67,klub nocny
68,myjnia samochodowa
69,tall
70,atomówka
71,spichlerz
72,sąd
73,mnożarka
74,komis
75,podwórze
76,stajnia
77,zakwaterowanie
78,kwaterunek
79,sklep ogólnospożywczy
80,bieżnia
81,galeria
82,mitreum
83,wszechnica
84,operetka
85,pedagogium
86,pipidówka
87,porodówka
88,stupa
89,rżysko
90,szpital
91,grochowisko
92,dziura
93,telecentrum
94,zaścianek
95,komunalka
96,środek ciężkości
97,lokal użytkowy
98,chirurgia
99,budynek zamieszkania zbiorowego
100,gołoborze
101,ogród wodny
102,koszary szyjowe
103,bazylika
104,ambona
105,ratusz
106,oddział septyczny
107,podzamcze
108,grangarda
109,przytułek
110,ermitaż
111,peron
112,wykrot
113,podobóz
114,krańcówka
115,amfiteatr
116,kadłubownia
117,zamek
118,przybudowa
119,kleruchia
120,elektrownia słoneczna
121,budynek niemieszkalny
122,pensjonat
123,teatr lalek
124,supersam
125,planetarium
126,kwatera
127,pensja
128,orlik
129,bazylika katedralna
130,siedlisko
131,szkier
132,oddział intensywnej terapii
133,fryciarnia
134,ogród
135,prewentorium
136,wyspa pływowa
137,łącznik
138,pole drumlinowe
139,boisko
140,pozycja
141,kazalnica
142,igloo
143,kolejówka
144,punkt filtracyjny
145,szkoda
146,osada
147,szer
148,małpi gaj
149,alma mater
150,sadyba
151,konserwatorium
152,bronowisko
153,klub jazzowy
154,miejsce zamieszkania
155,muszla koncertowa
156,kontyna
157,łańcuchówka
158,węzeł transportowy
159,wczasowisko
160,warzywniak
161,fokus
162,buda
163,azyl dyplomatyczny
164,half-pipe
165,siedliszcze
166,parafia
167,kaplica przedpogrzebowa
168,rakarnia
169,obozowisko
170,strzelnica sportowa
171,sierociniec
172,pinakoteka
173,pole bitwy
174,cel
175,punkt tonizujący
176,kolegiata
177,weranda
178,katedra polowa
179,hala
180,piach
181,wrotkarnia
182,świetlica terapeutyczna
183,chirurgia urazowa
184,fiskus
185,agentura
186,mównica
187,skwerek
188,bulder
189,owczarnia
190,miejsce obsługi podróżnych
191,ogródek piwny
192,cyrkuł
193,wirydarz
194,caput mundi
195,solarium
196,baptysterium
197,butik
198,maślany rynek
199,plac manewrowy
200,chałupa
201,konfekcja
202,pchli targ
203,kabaret
204,ziemia święta
205,biała sala
206,budynek gospodarczy
207,kopanisko
208,oddział intensywnej opieki medycznej
209,przysiółek
210,kąt
211,policja
212,piramida
213,konopisko
214,odsalarnia
215,pałac ślubów
216,podsekretariat
217,posterunek odgałęźny
218,atol
219,elektrownia wodna przepływowa
220,centrala międzymiastowa
221,lokum
222,przystanek
223,zieleniak
224,wodny park rozrywki
225,Przybytek Mojżeszowy
226,garmażeria
227,firma
228,Dom Boży
229,punkt gastronomiczny
230,pogotowie
231,komenda
232,komin
233,mieszkanie komunalne
234,jinja
235,miasto-satelita
236,wieś czynszowa
237,ładownia
238,kraina mlekiem i miodem płynąca
239,półmetek
240,placówka interwencyjna
241,psychuszka
242,myjnia
243,zielony garnizon
244,hospicjum
245,kręgielnia
246,mikrosiedlisko
247,przedstawicielstwo
248,klatkowiec
249,gniazdo ogniowe
250,kurnik
251,cerkiew prawosławna
252,meridian
253,święta góra
254,hangar
255,sołtysostwo
256,pomalowane
257,nadanie ziemskie
258,lamus
259,biologiczna oczyszczalnia
260,rosarium
261,spacerniak
262,apteka
263,stolica
264,jarmark
265,ognisko magmowe
266,sklep papierniczy
267,zimowisko
268,kartoflisko
269,kapuśnisko
270,fotolaboratorium
271,seminarium
272,zikkurat
273,dom towarowy
274,wyryw
275,automyjnia
276,ochronka
277,cerkiew huculska
278,sklep zoologiczny
279,kierownictwo
280,czwórstyk
281,jordanek
282,OIOM
283,drogeria
284,laryngologia
285,elektrownia jądrowa
286,centrum
287,totalizator
288,tartan
289,placówka wsparcia dziennego
290,sex-shop
291,punkt ogniowy
292,gastroenterologia
293,paleokontynent
294,gniazdowisko
295,kanion
296,ogród jordanowski
297,loft
298,sztuczna ściana
299,ostry dyżur
300,urząd skarbowy
301,ataszat
302,polibuda
303,plansza
304,ekopunkt
305,dom starców
306,kwatera wojenna
307,rabinat
308,gułag
309,empora
310,różanka
311,onkologia
312,dom wczasowy
313,ziggurat
314,waga miejska
315,supermarket
316,dobudówka
317,elektrownia atomowa
318,płóciennica
319,latryna
320,ortopedia
321,zsyłka
322,sołtystwo
323,ryokan
324,alumnat
325,pszeniczysko
326,suchy dok
327,miejscowość
328,okulistyka
329,ogród w stylu francuskim
330,stacja rozrządowa
331,dakka
332,filiał
333,kościół konkatedralny
334,arkadia
335,punkt świetlny
336,chram
337,rola
338,cukiernia
339,namiestnictwo
340,skalniak
341,otchłań
342,domek loretański
343,ring
344,centrala rybna
345,krematorium
346,miasto powiatowe
347,ziemia
348,stanowisko archeologiczne
349,klub
350,kram
351,owalnica
352,żytnisko
353,wieś placowa
354,hydroogród
355,kartuzja
356,miasto ogród
357,elektrownia
358,klinika odwykowa
359,czeluść
360,kolonia
361,raj podatkowy
362,bóżnica
363,autodrom
364,ministerstwo kultury
365,wodociągi
366,salon kosmetyczny
367,gradowisko
368,hotelowiec
369,kaplica loretańska
370,apeks
371,bank
372,męski
373,garnizon
374,izolatorium
375,koczowisko
376,nieużytek
377,środek
378,cedet
379,kącina
380,ogród botaniczny
381,folwark
382,megamarket
383,chór
384,poliklinika
385,stebnik
386,stacja nasłuchowa
387,agenda
388,stancja
389,Wenecja Północy
390,kwatera zastępcza
391,młyn
392,odeon
393,geolokalizacja
394,wrotowisko
395,orda
396,fotolab
397,bidul
398,krater
399,cyrk
400,czarny punkt
401,świetlica
402,kwiaciarnia
403,bożnica
404,pretorium
405,punkt katechetyczny
406,łagier
407,karawanseraj
408,punkt geodezyjny
409,barycentrum
410,informatorium
411,podcentrala
412,wygódka
413,ksero
414,żleb
415,sławojka
416,stanowisko antropologiczne
417,miasto wojewódzkie
418,kardiologia
419,wodociągownia
420,wylęgarnia
421,obóz
422,ogród barokowy
423,kaczy dół
424,kiosk
425,perypteros
426,mandapa
427,dworzec
428,stacja klimatyczna
429,checkpoint
430,motel
431,przygródek
432,magistrat
433,budka suflera
434,skateshop
435,majdan
436,peron wyspowy
437,hipocentrum
438,instancja
439,lido
440,bastylia
441,zikurat
442,metropolia
443,technikum
444,ogród warzywny
445,meta
446,świetlica środowiskowa
447,kino non stop
448,gastrologia
449,giełda papierów wartościowych
450,ogródek jordanowski
451,przyczółek
452,pasmanteria
453,obserwatorium
454,refleks
455,osteria
456,obóz zagłady
457,monastyr
458,skwer
459,jałownik
460,sklep kolonialny
461,sejm
462,nuncjatura
463,siłka
464,wieś drobnoszlachecka
465,słownikarnia
466,kraina geograficzna
467,obserwatorium meteorologiczne
468,tell
469,agromiasteczko
470,trumna
471,mięsny
472,secondhand
473,senat
474,kościół
475,izba wytrzeźwień
476,blaszak
477,punkt Laplace'a
478,akwapark
